,gdp_growth_yoy_lag_6,UNRATE_lag_3,unemployment_change,DGS10,yield_curve_slope,inflation_yoy,gdp_growth_yoy_lag_3,fed_funds_momentum,real_fed_funds,CPIAUCSL,gdp_growth_yoy,employment_growth_yoy,gdp_growth_yoy_lag_1,employment_growth_yoy_lag_3
1956-06-01,1.5970861487468069,4.2,0.0999999999999996,4.09,1.38,1.647323099962561,0.6071948239729785,0.2099999999999999,1.062676900037439,27.15,1.4244586647746749,3.536129159283319,1.4244586647746749,4.667547335975342
1956-07-01,2.213978397149363,4.0,0.4000000000000003,4.09,1.34,1.9805680119581397,2.040302728029797,0.1299999999999999,0.7694319880418607,27.29,2.602638796032264,1.898523152960552,1.4244586647746749,4.233004298678544
1956-08-01,0.6071948239729785,4.3,-0.1000000000000005,4.09,1.36,2.208083832335328,1.4244586647746749,-0.02,0.521916167664672,27.31,1.1616331472388497,2.9739195085206616,2.602638796032264,3.947576813430476
1956-09-01,0.6071948239729785,4.3,-0.1999999999999997,4.09,1.1399999999999997,1.862197392923659,1.4244586647746749,0.2400000000000002,1.0878026070763411,27.35,1.1616331472388497,2.6099169039909498,1.1616331472388497,3.536129159283319
1956-10-01,2.040302728029797,4.4,-0.3999999999999999,4.09,1.13,2.572706935123037,2.602638796032264,0.2099999999999999,0.387293064876963,27.51,3.2405103024595983,2.6210892687005494,1.1616331472388497,1.898523152960552
1956-11-01,1.4244586647746749,4.1,0.0999999999999996,4.09,1.21,2.34375,1.1616331472388497,0.1499999999999999,0.5362499999999999,27.51,2.0550055298088843,2.382152271670024,3.2405103024595983,2.9739195085206616
1956-12-01,1.4244586647746749,3.9,0.0,4.09,1.15,2.828433196873825,1.1616331472388497,-0.0100000000000002,0.1115668031261747,27.63,2.0550055298088843,2.169674741820282,2.0550055298088843,2.6099169039909498
1957-01-01,2.602638796032264,3.9,0.2000000000000001,4.09,1.25,3.130823704808061,3.2405103024595983,-0.1200000000000001,-0.2908237048080613,27.67,4.119763027188039,1.7546897546897533,2.0550055298088843,2.6210892687005494
1957-02-01,1.1616331472388497,4.3,0.0,4.09,1.09,3.499627699180952,2.0550055298088843,0.1200000000000001,-0.4996276991809516,27.8,2.0231810156299046,1.7827362125481638,4.119763027188039,2.382152271670024
1957-03-01,1.1616331472388497,4.2,-0.5,4.09,1.13,3.607288955001864,2.0550055298088843,0.02,-0.6472889550018639,27.86,2.0231810156299046,1.6483726622557038,2.0231810156299046,2.169674741820282
1957-04-01,3.2405103024595983,4.2,-0.1,4.09,1.09,3.713330857779429,4.119763027188039,0.1600000000000001,-0.7133308577794288,27.93,2.510950934168421,1.647732696897375,2.0231810156299046,1.7546897546897533
1957-05-01,2.0550055298088843,3.9,-0.2000000000000001,4.09,1.09,3.588605253422128,2.0231810156299046,0.0,-0.588605253422128,28.0,0.4780971478077989,1.2265264922104224,2.510950934168421,1.7827362125481638
1957-06-01,2.0550055298088843,3.7,0.0,4.09,1.09,3.53591160220994,2.0231810156299046,0.04,-0.5359116022099402,28.11,0.4780971478077989,0.9146921233788464,0.4780971478077989,1.6483726622557038
1957-07-01,4.119763027188039,3.9,-0.2000000000000001,4.09,1.0999999999999996,3.297911322828884,2.510950934168421,-0.0099999999999997,-0.3079113228288834,28.19,2.0671422094218794,2.24809931671639,0.4780971478077989,1.647732696897375
1957-08-01,2.0231810156299046,4.1,0.0,4.09,0.8499999999999996,3.551812522885389,0.4780971478077989,0.2400000000000002,-0.3118125228853889,28.28,1.5814840315661272,0.9443103874142712,2.0671422094218794,1.2265264922104224
1957-09-01,2.0231810156299046,4.3,0.5000000000000004,4.09,0.6199999999999997,3.546617915904937,0.4780971478077989,0.4700000000000002,-0.0766179159049369,28.32,1.5814840315661272,0.6273287202494204,1.5814840315661272,0.9146921233788464
1957-10-01,2.510950934168421,4.2,0.6000000000000001,4.09,0.5899999999999999,2.944383860414379,2.0671422094218794,0.5099999999999998,0.555616139585621,28.32,0.6014511943223333,-0.0265267067093621,1.5814840315661272,2.24809931671639
1957-11-01,0.4780971478077989,4.1,0.7999999999999998,4.09,0.81,3.271537622682663,1.5814840315661272,0.0399999999999995,0.0084623773173366,28.41,-0.9647750735156224,-0.4979080290036131,0.6014511943223333,0.9443103874142712
1957-12-01,0.4780971478077989,4.4,1.0,4.09,1.11,3.040173724212813,1.5814840315661272,-0.4900000000000002,-0.0601737242128135,28.47,-0.9647750735156224,-1.0296812711368064,-0.9647750735156224,0.6273287202494204
1958-01-01,2.0671422094218794,4.5,1.5999999999999996,4.09,1.3699999999999997,3.5056017347307566,0.6014511943223333,-0.7799999999999998,-0.7856017347307565,28.64,-2.49223132912052,-1.5334581277062442,-0.9647750735156224,-0.0265267067093621
1958-02-01,1.5814840315661272,5.1,2.5000000000000004,4.09,2.42,3.237410071942448,-0.9647750735156224,-1.61,-1.5674100719424482,28.7,-1.5423363320866468,-2.8645686196960285,-2.49223132912052,-0.4979080290036131
1958-03-01,1.5814840315661272,5.2,3.0,4.09,2.89,3.625269203158665,-0.9647750735156224,-1.78,-2.425269203158665,28.87,-1.5423363320866468,-3.493490857099857,-1.5423363320866468,-1.0296812711368064
1958-04-01,0.6014511943223333,5.8,3.5000000000000004,4.09,2.83,3.616183315431432,-2.49223132912052,-1.4600000000000002,-2.356183315431432,28.94,-0.6077529566359985,-4.153048574326612,-1.5423363320866468,-1.5334581277062442
1958-05-01,-0.9647750735156224,6.4,3.3000000000000007,4.09,3.46,3.3571428571428585,-1.5423363320866468,-1.04,-2.727142857142858,28.94,0.9492235958420636,-4.206961429915335,-0.6077529566359985,-2.8645686196960285
1958-06-01,-0.9647750735156224,6.7,3.0,4.09,3.16,2.8459622909996485,-1.5423363320866468,-0.2699999999999999,-1.9159622909996483,28.91,0.9492235958420636,-4.057135319501759,0.9492235958420636,-3.493490857099857
1958-07-01,-2.49223132912052,7.4,3.3,4.09,3.41,2.483150053210359,-0.6077529566359985,-0.58,-1.8031500532103588,28.89,3.914317491551533,-3.9229712177399567,0.9492235958420636,-4.153048574326612
1958-08-01,-1.5423363320866468,7.4,3.3000000000000007,4.09,2.56,2.333804809052342,0.9492235958420636,0.9,-0.8038048090523422,28.94,2.9372131751903785,-3.566857400993828,3.914317491551533,-4.206961429915335
1958-09-01,-1.5423363320866468,7.3,2.6999999999999997,4.09,2.33,2.083333333333326,0.9492235958420636,0.83,-0.3233333333333259,28.91,2.9372131751903785,-2.6976990214229057,2.9372131751903785,-4.057135319501759
1958-10-01,-0.6077529566359985,7.5,2.2,4.09,2.29,2.083333333333326,3.914317491551533,1.12,-0.2833333333333259,28.91,5.84285708232164,-2.4221518867388103,2.9372131751903785,-3.9229712177399567
1958-11-01,0.9492235958420636,7.4,1.1000000000000003,4.09,1.82,1.9007391763463444,2.9372131751903785,0.74,0.3692608236536556,28.95,2.8227341866989386,-1.1682331899996234,5.84285708232164,-3.566857400993828
1958-12-01,0.9492235958420636,7.1,1.0,4.09,1.67,1.7562346329469625,2.9372131751903785,0.6599999999999999,0.6637653670530375,28.97,2.8227341866989386,-0.570784972510685,2.8227341866989386,-2.6976990214229057
1959-01-01,3.914317491551533,6.7,0.2000000000000001,4.09,1.61,1.2918994413407825,5.84285708232164,0.6799999999999999,1.1881005586592177,29.01,5.040537953774993,0.7719486903756012,2.8227341866989386,-2.4221518867388103
1959-02-01,2.9372131751903785,6.2,-0.5,4.09,1.6599999999999997,1.0452961672473782,2.8227341866989386,0.1600000000000001,1.384703832752622,29.0,2.156919658496048,2.156041569722356,5.040537953774993,-1.1682331899996234
1959-03-01,2.9372131751903785,6.2,-1.1000000000000003,4.09,1.29,0.3463803255975062,2.8227341866989386,0.3799999999999999,2.4536196744024936,28.97,2.156919658496048,3.3431450905475835,2.156919658496048,-0.570784972510685
1959-04-01,5.84285708232164,6.0,-2.2,4.09,1.13,0.1382170006910765,5.040537953774993,0.48,2.8217829993089234,28.98,4.623715106444748,4.495659160836429,2.156919658496048,0.7719486903756012
